date	ur	pi_gr	nyse_gr	tb_sqrt_diff	ics_log_diff	pce_gr_diff	perc_pos_rev_weighted	perc_neg_rev_weighted	perc_uncert_rev_weighted	perc_litig_rev_weighted	perc_modal_wk_rev_weighted	perc_modal_mod_rev_weighted	perc_constrain_rev_weighted	perc_modal_str_rev_weighted_diff
2013-07-01	7.3	-0.004643068	0.04394577	-0.023606798	0.011820469	-0.004466464	2.270306684	0.9375127	0.75265479	0.096819971	0.307920979	0.534092938	0.074477853	-0.093304536
2013-08-01	7.2	0.00371765	-0.030146987	0	-0.035889019	0.005191266	2.224913011	0.950460197	0.764478165	0.092116463	0.30344653	0.537382399	0.075152968	0.032281934
2013-09-01	7.2	0.004452623	0.037816086	-0.058578644	-0.05766008	0.000450738	2.570393449	1.183363774	1.020709288	0.091028122	0.434920143	0.700267668	0.082374468	0.155782068
2013-10-01	7.2	-0.006844163	0.034290149	0.082185442	-0.057082515	-0.004543946	1.95571313	1.056411054	0.847064789	0.09901501	0.352643705	0.594619079	0.110263836	-0.054436484
2013-11-01	6.9	0.00469137	0.017342365	0.040968333	0.025625138	0.007153318	1.991042076	1.060434239	0.878831246	0.114561194	0.348788809	0.590493777	0.107652119	0.034129535
2013-12-01	6.7	0.005104016	0.021318366	0	0.093977735	-0.003299429	2.014114617	1.036029011	0.887040214	0.104271067	0.359744463	0.576193168	0.112719032	0.019203683
2014-01-01	6.6	0.003719717	-0.045122414	-0.064575131	-0.015883046	-0.006778389	2.082203772	1.082939919	0.872214432	0.087070146	0.342628313	0.584906835	0.11071704	0.041736817
2014-02-01	6.7	0.007209906	0.045969706	0.023606798	0.004914015	0.008805257	2.129082812	1.057038434	0.815458501	0.10715873	0.316815601	0.605447474	0.118217972	0.014150998
2014-03-01	6.7	0.008033715	0.009774654	0	-0.019802627	0.001975541	2.135516336	1.156519558	0.770503056	0.11024828	0.282897087	0.613912051	0.11518526	-0.06628231
2014-04-01	6.3	-0.00163736	0.003163129	-0.050401717	0.049979932	-0.007772799	2.106696473	1.144190933	0.827303113	0.108433185	0.332385903	0.583720654	0.104011567	-0.079252492
2014-05-01	6.3	0.004207531	0.012151838	0	-0.026507576	0.005046423	2.162298683	1.147400169	0.802742964	0.111969416	0.320695814	0.571320871	0.100505128	0.023248692
2014-06-01	6.1	0.005271658	0.020742277	0.026794919	0.007299302	0.001925433	2.163335118	1.059732708	0.86539052	0.116454969	0.35182601	0.579250257	0.112811835	0.007376392
2014-07-01	6.2	0.000267732	-0.027643913	-0.026794919	-0.00852105	-0.00688552	2.141295116	1.015319737	0.793469828	0.100593557	0.3301984	0.551456908	0.087513388	0.01975736
2014-08-01	6.2	0.004622229	0.029819834	0	0.00852105	0.008111896	2.130346167	1.049735057	0.834831497	0.113474785	0.341255915	0.578951135	0.090563651	-0.028927903
2014-09-01	5.9	0.003032281	-0.031083771	-0.031783725	0.025135973	-0.005968712	2.263123561	1.017410608	0.837901603	0.106588758	0.322422753	0.579738753	0.095092782	0.05342558
2014-10-01	5.7	0.001717257	0.011290832	0	0.026823766	0.002421494	2.204106724	1.057478968	0.853682528	0.121940335	0.363562995	0.633394673	0.094794397	-0.011061415
