month_date	ur	pi_gr	nyse_gr	tb_sqrt_diff	ics_log_diff	pce_gr_diff	num_words	perc_pos	perc_neg	perc_uncert	perc_litig	perc_modal_wk	perc_modal_wod	perc_modal_str	perc_constrain	num_alphanum	num_digits	num_nums	avg_syll_word	avg_word_len	vocab	num_words_rev_weighted	perc_pos_rev_weighted	perc_neg_rev_weighted	perc_uncert_rev_weighted	perc_litig_rev_weighted	perc_modal_wk_rev_weighted	perc_modal_wod_rev_weighted	perc_modal_str_rev_weighted	perc_constrain_rev_weighted	num_alphanum_rev_weighted	num_digits_rev_weighted	num_nums_rev_weighted	avg_syll_word_rev_weighted	avg_word_len_rev_weighted	vocab_rev_weighted
12/1/11	8.5	0.009642598	-0.000998091	0	0.092881087	0.000585176	8780.964286	1.853833671	1.072601818	0.906000805	0.07596845	0.409264128	0.693848251	0.571970015	0.089154539	44453.85714	544.8571429	222.7857143	1.523168731	4.679318355	1355.107143	9045.155175	1.982023807	0.913389735	0.841314026	0.096363289	0.337886723	0.509552034	0.57108031	0.081059206	46833.67109	678.7405704	277.9190894	1.574434604	4.834879285	1407.010286
1/1/12	8.3	0.00474986	0.041828863	0.073205081	0.070422464	0.000901115	8273.464286	1.997210051	1.071090019	0.897150554	0.068085207	0.400711694	0.669117542	0.63299775	0.092968503	41956.75	557.75	222.1071429	1.531064298	4.701663286	1316.642857	8185.030976	2.302206468	0.884065291	0.848670012	0.075962329	0.359205221	0.520380238	0.660412193	0.132868589	42077.45751	655.4925281	261.5540717	1.573991362	4.837433316	1312.820798
2/1/12	8.3	0.008448516	0.035052747	0.126794919	0.003992021	0.006333112	8308.928571	2.069082128	1.061954004	0.868207842	0.072741261	0.388195255	0.662659773	0.663755843	0.094776845	42135.46429	574.5714286	227	1.530974554	4.701882863	1328.642857	8037.048868	2.377795755	0.870930408	0.830056419	0.078566542	0.348644133	0.508958325	0.693203055	0.126335168	41511.87909	677.003192	267.2134513	1.578558197	4.855541643	1319.307801
3/1/12	8.2	0.005360777	0.011547723	-0.017157288	0.011881328	-0.008569781	8251.275862	2.08637738	1.007126004	0.866908776	0.089888176	0.395707564	0.687226973	0.621811231	0.092308097	42028.72414	547.3448276	222.2413793	1.529047449	4.698938609	1316.827586	8064.976615	2.371251956	0.860870888	0.833503488	0.100916252	0.348914204	0.542343144	0.664107579	0.1286652	41746.15476	645.0599635	257.9755074	1.57181837	4.842544433	1322.380261
4/1/12	8.2	0.001257375	-0.014605873	0	0.002621233	-0.001248624	8657.466667	1.962241777	1.026016021	0.867907315	0.095592422	0.412517008	0.706468917	0.579297842	0.094096472	43824.46667	488.1	207.5333333	1.519031466	4.666969831	1338.566667	8526.845157	2.2366804	0.883910546	0.815586638	0.096340991	0.356352715	0.552887754	0.631885674	0.119936427	43746.79586	574.132523	239.4864493	1.560047381	4.804283776	1338.699108
5/1/12	8.2	-0.000345073	-0.080686692	0.017157288	0.037255432	0.000392869	8542.785714	1.911731909	1.006867848	0.857118815	0.095332683	0.407918876	0.745956934	0.577323431	0.081933367	43302.46429	487.6428571	206.8928571	1.518451359	4.664090823	1329.785714	9230.937033	2.092476742	0.919648399	0.773548277	0.09356814	0.341690652	0.607609652	0.574443773	0.079557888	47823.91842	634.3823928	267.0286386	1.565517553	4.805011868	1416.069154
6/1/12	8.2	0.00035322	0.04526818	0	-0.080042708	-0.00102212	8400.076923	1.838884071	1.097087185	0.893807802	0.098160359	0.42423055	0.773995725	0.594843689	0.077848318	42264.30769	466.6923077	200.2307692	1.510115423	4.641460851	1316.923077	8183.441353	1.765076488	1.075931025	0.887967094	0.098752582	0.421772518	0.71551514	0.570693243	0.072468424	41218.1516	537.8683286	227.6928233	1.519516372	4.671355326	1294.067116
7/1/12	8.2	-0.011799026	0.00280926	0.016227766	-0.012371292	-0.000266978	8311.107143	1.825747812	1.110756492	0.868198685	0.091121034	0.41677746	0.757335144	0.598159327	0.074311258	41923.42857	451.5357143	195.25	1.514584903	4.655195576	1305.035714	8518.674307	1.730147532	1.092464677	0.854890386	0.090526548	0.413368835	0.695123265	0.605838151	0.070903651	43032.793	535.9261206	225.7647775	1.526498399	4.685187516	1317.305754
8/1/12	8.1	-0.000500913	0.019201595	0	0.027286823	0.004750588	8520.193548	1.846440285	1.093281682	0.869590025	0.087497643	0.402967083	0.726373813	0.606058144	0.074701136	43195.54839	487.3870968	207.7741935	1.521860733	4.677017414	1335.709677	9546.213918	2.030219102	0.941473189	0.822939739	0.085240364	0.354378897	0.608058701	0.657644443	0.069890062	49448.95917	667.4133991	276.1451713	1.565300583	4.808553999	1440.927133
9/1/12	7.8	0.007929708	0.029453759	0.015434713	0.052436651	0.002765704	8046.766667	1.896954527	1.063765117	0.854970972	0.104447839	0.38678446	0.713581495	0.602424491	0.087688525	40988.16667	459.2333333	193.9333333	1.529458588	4.699235901	1299.833333	9490.107549	2.148520822	0.916852348	0.790573665	0.086265647	0.327296852	0.60176945	0.603116485	0.083276254	49348.02314	641.0131361	265.443296	1.576898317	4.834904959	1464.65449
10/1/12	7.8	0.005377843	-0.008651705	-0.015434713	0.053462078	-0.006853918	8058.548387	1.839476771	1.064906534	0.909969943	0.112155494	0.416378755	0.682077854	0.599030929	0.09369186	40962.45161	498.9677419	209.483871	1.526301416	4.69168773	1298.774194	9177.318636	1.984617159	0.887065471	0.873444734	0.107300408	0.347035858	0.531949827	0.648073631	0.073537143	47685.67567	698.7482431	294.3004833	1.56953835	4.824285499	1441.980917
11/1/12	7.7	0.013436082	0.004747281	-0.016227766	0.001209922	0.004971073	8381.6	1.809887628	1.0638383	0.92787089	0.100563587	0.431636779	0.704352681	0.571966463	0.089472151	42427.88571	525.6285714	219.7428571	1.521989411	4.677686836	1322.942857	9318.537473	1.970365084	0.932312707	0.856488118	0.09882052	0.342740825	0.581981294	0.633459328	0.081960748	48177.20756	721.7089836	301.6523638	1.561937937	4.797382912	1438.84293
12/1/12	7.9	0.02536473	0.022163505	-0.035424869	-0.126130963	-0.00300116	8523.411765	1.791322468	1.029234092	0.907984853	0.105573254	0.418887027	0.687974412	0.608418451	0.086836726	43124.05882	524.2352941	218.9705882	1.520598487	4.672484168	1348.529412	9302.764019	1.979484449	0.852902963	0.831706781	0.102176526	0.320429791	0.557167856	0.691615247	0.080451256	48188.07638	695.6905408	295.4486452	1.563399162	4.803511004	1451.696708
1/1/13	8	-0.059589232	0.049250389	0	0.012270093	0.00126302	8661.705882	1.798206254	1.032729687	0.896532284	0.094573986	0.408048362	0.73347955	0.643217876	0.096072017	43800.20588	597.5882353	236.9117647	1.519730024	4.67220142	1347.735294	9739.253042	1.978934612	0.925333526	0.820540733	0.079098968	0.317571868	0.590565215	0.735693694	0.102554453	50158.71355	866.4248075	336.4646338	1.560339495	4.797779344	1430.333598
2/1/13	7.7	-0.001391304	-0.002921988	0.051652635	0.050208696	0.001689641	8367.428571	1.815250516	1.086089846	0.909491936	0.107443219	0.404798548	0.722852892	0.57990555	0.101350432	42483.28571	583.4	227.9142857	1.533448065	4.712316821	1316.114286	9742.32843	2.018780192	0.93139165	0.848108186	0.092856145	0.34480415	0.600462343	0.688397431	0.094840971	50038.08076	803.4556866	309.0886841	1.558520616	4.799658437	1433.938832
3/1/13	7.5	0.000202506	0.026872008	-0.016227766	0.012804272	-0.004397033	7920.4	1.811857382	1.072561931	0.903652318	0.104169479	0.3955471	0.730734173	0.595641246	0.093468754	40408.05714	547.9714286	213.6285714	1.539217117	4.724393482	1287.342857	9491.949529	2.117393079	0.902892863	0.815093865	0.096362394	0.320785671	0.529038146	0.727458906	0.091034595	49198.71221	814.6382404	314.8534206	1.570471612	4.830895487	1416.04633
4/1/13	7.6	0.000294786	0.015716799	-0.055051026	-0.028389003	-0.003693924	8144.641026	1.819029863	1.071529106	0.902867587	0.097331877	0.395605586	0.72848991	0.554427634	0.083653956	41377.74359	488.3589744	196.6923077	1.534214779	4.71283966	1309	9717.781203	2.08800312	0.922282332	0.807711108	0.098295225	0.330245638	0.583514639	0.667710165	0.072167692	50007.88384	747.899258	295.7457667	1.562294033	4.805097427	1432.024754
5/1/13	7.5	0.006377603	0.002736874	-0.044948974	0.100768838	0.008304376	7724.263158	1.81100674	1.094075277	0.938031291	0.105084795	0.418312656	0.746183325	0.601858654	0.08804886	39353.76316	469.7105263	188.3947368	1.5369697	4.719170098	1269.105263	8988.225947	2.057930738	1.004257218	0.776222327	0.105887437	0.317394117	0.54843743	0.654874382	0.071371382	46974.68194	611.9136692	248.8802254	1.586566686	4.867409519	1427.418329
